,id,address,region,village,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes
1065,1116499,dukou52,1,dukou,1,49.0,6.0,2.0,20.0,5.5,40.0,1,0,20.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.4,5.0,0.0,1.0,1.0,0.0,1.0
1066,1116501,dukou52,1,dukou,0,37.0,7.0,2.0,,6.0,30.0,0,0,50.0,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.2,7.0,0.39999998,1.0,1.0,,1.0
1067,1116502,dukou52,1,dukou,0,41.0,3.0,1.0,60.0,4.0,50.0,1,0,40.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,0.2,7.0,0.0,1.0,0.0,,1.0
1068,1116503,dukou52,1,dukou,0,41.0,3.0,1.0,70.0,15.0,,0,0,50.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.4,1.0,0.0,,
1069,1116505,dukou52,1,dukou,1,50.0,4.0,1.0,30.0,5.0,,1,0,20.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,0.8,7.0,0.0,1.0,0.0,,0.0
1070,1116508,dukou52,1,dukou,0,73.0,7.0,1.0,90.0,8.0,20.0,0,0,30.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.8,5.0,0.0,1.0,0.0,,1.0
1071,1116509,dukou52,1,dukou,1,42.0,4.0,2.0,40.0,4.0,,1,1,20.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.6,5.0,0.39999998,1.0,1.0,0.0,0.0
1072,1116510,dukou52,1,dukou,1,68.0,3.0,1.0,,3.4,20.0,0,0,50.0,1,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,,1.0
1073,1116514,dukou52,1,dukou,0,60.0,6.0,1.0,50.0,5.0,,1,1,40.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.4,5.0,0.0,1.0,0.0,0.0,0.0
1074,1116515,dukou52,1,dukou,0,49.0,4.0,1.0,60.0,4.0,,0,0,50.0,1,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,,
1075,1116516,dukou52,1,dukou,0,70.0,7.0,0.0,100.0,12.0,,1,1,20.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.6,5.0,0.0,0.0,0.0,1.0,0.0
1076,1116518,dukou52,1,dukou,1,62.0,7.0,1.0,100.0,24.0,,0,0,30.0,1,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,,1.0
1077,1116519,dukou52,1,dukou,0,54.0,7.0,0.0,40.0,4.0,,1,1,30.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,
1078,1116520,dukou52,1,dukou,0,46.0,5.0,2.0,20.0,5.6,45.0,0,0,50.0,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.2,7.0,0.19999999,1.0,1.0,,1.0
1079,1116521,dukou52,1,dukou,1,43.0,4.0,1.0,100.0,9.0,50.0,1,0,40.0,0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,,1.0
1080,1116522,dukou52,1,dukou,1,62.0,2.0,0.0,100.0,2.0,70.0,0,0,50.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,0.4,7.0,0.0,0.0,0.0,,1.0
1081,1116523,dukou52,1,dukou,1,42.0,7.0,0.0,80.0,18.0,,1,1,20.0,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.8,7.0,0.8,0.0,0.0,,
1082,1116816,dukou8,1,dukou,0,60.0,5.0,1.0,30.0,2.5,20.0,0,0,30.0,0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.8,5.0,0.0,1.0,0.0,0.0,1.0
1083,1116817,dukou8,1,dukou,1,33.0,6.0,1.0,90.0,25.0,30.0,1,0,20.0,0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.6,5.0,0.0,1.0,0.0,0.0,1.0
1084,1116818,dukou8,1,dukou,1,80.0,3.0,0.0,100.0,6.0,,0,0,50.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,,0.0
1085,1116819,dukou8,1,dukou,0,55.0,2.0,1.0,100.0,18.0,,1,0,0.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.6,5.0,0.39999998,1.0,0.0,0.0,0.0
1086,1116820,dukou8,1,dukou,1,63.0,6.0,2.0,90.0,9.1,50.0,0,0,50.0,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.4,7.0,0.0,1.0,1.0,,1.0
1087,1116821,dukou8,1,dukou,1,73.0,6.0,1.0,30.0,4.0,,1,1,20.0,1,1.0,1,1.0,1.0,0.0,1.0,0.0,0.8,7.0,0.8,1.0,0.0,,
1088,1116823,dukou8,1,dukou,0,64.0,4.0,1.0,40.0,6.0,20.0,0,0,10.0,1,1.0,1,1.0,1.0,1.0,0.0,0.0,0.2,7.0,0.39999998,1.0,0.0,,1.0
1089,1116825,dukou8,1,dukou,0,53.0,7.0,2.0,50.0,7.0,20.0,1,0,30.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.6,5.0,0.0,1.0,1.0,0.0,1.0
1090,1116826,dukou8,1,dukou,1,43.0,4.0,2.0,100.0,5.0,,0,0,50.0,0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.8,5.0,0.0,1.0,1.0,0.0,0.0
1091,1116831,dukou8,1,dukou,0,58.0,3.0,2.0,90.0,11.0,,0,1,40.0,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.6,7.0,0.0,1.0,1.0,,0.0
1092,1116834,dukou8,1,dukou,1,59.0,3.0,0.0,60.0,7.0,,0,0,50.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.8,5.0,0.39999998,0.0,0.0,0.0,0.0
1093,1116838,dukou8,1,dukou,1,43.0,3.0,1.0,40.0,3.9,,1,0,20.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,0.4,7.0,0.0,1.0,0.0,,0.0
1094,1116845,dukou8,1,dukou,0,70.0,2.0,0.0,100.0,2.6,,0,0,30.0,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.2,7.0,0.0,0.0,0.0,,0.0
1095,1116846,dukou8,1,dukou,0,36.0,4.0,2.0,60.0,6.2,20.0,1,0,20.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.6,5.0,0.0,1.0,1.0,0.0,1.0
1096,1116847,dukou8,1,dukou,0,82.0,6.0,0.0,100.0,7.0,,1,0,50.0,0,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0
1097,1116848,dukou8,1,dukou,1,31.0,4.0,3.0,80.0,18.0,,1,1,40.0,1,1.0,1,1.0,0.0,1.0,0.0,0.0,0.6,7.0,0.6,1.0,1.0,,
1098,1116852,dukou8,1,dukou,0,55.0,6.0,0.0,40.0,7.0,15.0,0,1,50.0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,,1.0
1099,1116854,dukou8,1,dukou,0,72.0,5.0,0.0,100.0,6.0,40.0,1,0,70.0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,,1.0
1100,1116855,dukou8,1,dukou,0,34.0,2.0,1.0,60.0,6.0,30.0,0,0,30.0,1,1.0,1,1.0,0.0,1.0,0.0,0.0,0.6,7.0,0.6,1.0,0.0,,1.0
1101,1116856,dukou8,1,dukou,0,45.0,3.0,0.0,100.0,30.0,20.0,1,0,20.0,1,1.0,1,1.0,1.0,0.0,1.0,0.0,0.2,7.0,0.0,0.0,0.0,,1.0
1102,1116858,dukou8,1,dukou,1,54.0,6.0,1.0,60.0,5.0,,0,0,50.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.2,5.0,0.0,1.0,0.0,1.0,0.0
1103,1116859,dukou8,1,dukou,0,62.0,6.0,0.0,70.0,7.0,,1,0,40.0,1,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0
1104,1118003,huangshan1,1,huangshan,0,65.0,4.0,1.0,100.0,2.0,,0,1,50.0,1,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0
1105,1118004,huangshan1,1,huangshan,0,41.0,4.0,1.0,60.0,12.0,,0,1,20.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.6,9.0,1.0,1.0,0.0,0.0,0.0
1106,1118005,huangshan1,1,huangshan,0,46.0,3.0,2.0,70.0,13.0,10.0,0,0,1.0,1,1.0,0,0.0,1.0,0.0,0.0,1.0,0.8,9.0,0.0,1.0,1.0,0.0,1.0
1107,1118006,huangshan1,1,huangshan,0,33.0,5.0,1.0,45.0,10.0,25.0,0,1,20.0,0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.2,13.0,0.0,1.0,0.0,,1.0
1108,1118009,huangshan1,1,huangshan,0,47.0,4.0,2.0,60.0,7.5,,0,1,50.0,1,1.0,0,0.0,1.0,0.0,0.0,1.0,0.8,9.0,0.0,1.0,1.0,0.0,0.0
1109,1118010,huangshan1,1,huangshan,1,41.0,4.0,2.0,20.0,3.0,15.0,0,1,40.0,1,1.0,0,1.0,0.0,1.0,0.0,0.0,0.6,13.0,0.39999998,1.0,1.0,,1.0
1110,1118012,huangshan1,1,huangshan,0,73.0,10.0,0.0,100.0,3.0,,1,1,50.0,1,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,,0.0
1111,1118013,huangshan1,1,huangshan,0,58.0,7.0,1.0,30.0,3.0,50.0,0,0,30.0,1,1.0,0,1.0,0.0,0.0,0.0,1.0,0.6,13.0,0.0,1.0,0.0,,1.0
1112,1118014,huangshan1,1,huangshan,0,51.0,3.0,1.0,45.0,15.0,,0,0,30.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.2,9.0,1.0,1.0,0.0,0.0,0.0
1113,1118016,huangshan1,1,huangshan,1,76.0,3.0,0.0,100.0,5.0,,0,1,20.0,1,1.0,0,1.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,,0.0
1114,1118018,huangshan1,1,huangshan,0,44.0,4.0,2.0,70.0,15.0,,0,0,50.0,1,1.0,0,0.0,1.0,0.0,0.0,1.0,,9.0,0.4,1.0,1.0,,
1115,1118020,huangshan1,1,huangshan,1,38.0,4.0,1.0,60.0,10.8,,0,1,0.0,1,1.0,0,1.0,0.0,0.0,0.0,1.0,0.2,13.0,0.0,1.0,0.0,,0.0
1116,1118021,huangshan1,1,huangshan,1,63.0,6.0,1.0,60.0,7.0,30.0,1,1,50.0,1,1.0,0,1.0,0.0,0.0,1.0,0.0,0.4,13.0,0.0,1.0,0.0,,1.0
1117,1118022,huangshan1,1,huangshan,0,62.0,9.0,1.0,70.0,12.0,,1,1,20.0,1,0.0,0,0.0,0.0,0.0,0.0,1.0,,9.0,0.8,1.0,0.0,,
1118,1118023,huangshan1,1,huangshan,0,58.0,2.0,1.0,85.0,4.2,5.0,0,1,0.0,1,1.0,0,0.0,0.0,0.0,0.0,1.0,0.2,9.0,0.19999999,1.0,0.0,0.0,1.0
1119,1118026,huangshan1,1,huangshan,1,68.0,2.0,1.0,100.0,2.0,20.0,1,1,20.0,1,1.0,0,1.0,0.0,1.0,0.0,0.0,0.2,13.0,0.0,1.0,0.0,,1.0
1120,1118028,huangshan1,1,huangshan,1,65.0,6.0,3.0,60.0,10.0,,0,0,50.0,1,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,0.2,1.0,1.0,,
1121,1118030,huangshan1,1,huangshan,0,58.0,6.0,0.0,75.0,14.0,,0,0,40.0,1,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,,0.0
1122,1118034,huangshan1,1,huangshan,0,72.0,10.0,0.0,100.0,3.0,10.0,0,0,50.0,0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.8,9.0,0.0,0.0,0.0,0.0,1.0
1123,1118038,huangshan1,1,huangshan,0,47.0,2.0,2.0,85.0,20.0,,0,1,20.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.6,9.0,0.39999998,1.0,1.0,0.0,0.0
1124,1118039,huangshan1,1,huangshan,0,45.0,5.0,1.0,80.0,12.0,2.0,0,0,30.0,1,1.0,0,1.0,0.0,1.0,0.0,0.0,0.6,13.0,0.0,1.0,0.0,,1.0
1125,1118042,huangshan1,1,huangshan,0,63.0,8.0,2.0,70.0,12.0,,1,1,20.0,1,1.0,0,0.0,1.0,0.0,0.0,1.0,,9.0,0.8,1.0,1.0,,
1126,1118043,huangshan1,1,huangshan,1,67.0,2.0,3.0,70.0,5.5,,0,0,50.0,1,1.0,0,1.0,1.0,0.0,0.0,1.0,0.2,13.0,0.0,1.0,1.0,,0.0
1127,1118045,huangshan1,1,huangshan,0,40.0,5.0,1.0,100.0,9.0,,0,1,40.0,1,1.0,0,0.0,0.0,0.0,0.0,1.0,0.6,9.0,0.0,1.0,0.0,0.0,0.0
